PLANT_CODE,BATCH_NO,SIMULATED_HEAT_NO,HR_GRADE,QUALITY_LEVEL,VENDOR_GRADE,BATCH_THICK,BATCH_WIDTH,BATCH_WEIGHT,SENT_DATE,SUPPLIER_TC_NO,CHEM_TREATMENT,SURFACE,REMARK,CARBON_PCT,CARBON_EQ,MANGANESE_PCT,PHOSPHORUS_PCT,SULPHUR_PCT,SILICON_PCT,ALUMINIUM_PCT,NITROGEN_PCT,NITROGEN_PPM,BORON_PCT,COPPER_PCT,CHROMIUM_PCT,NICKEL_PCT,TIN_PCT,YMPA,TMPA,EL_PCT,HARDNESS,UTS,YS,INNER_DIA,OUTER_DIA,READ_FLAG
2000,25E0636R00,15974807,CR2,PRIME,,4,1235,26.175,30-05-25,,NA,NA,,0.06,0.11,0.3,0.02,0.014,0.012,0.06,0,36,0.03,0.005,0.017,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0727P01,28762481,CR3,PRIME,CR3,1.8,1400,25.615,02-09-25,,NA,NA,,0.04,0.067,0.17,0.02,0.009,0.008,0.052,0.001,42,0.03,0.007,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0728P01,51004260,CR3,PRIME,CR3,1.2,1500,10,29-07-25,,NA,NA,,0.04,0.074,0.17,0.017,0.013,0.014,0.044,0.001,33,0.03,0.007,0.012,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0013R00,75979592,CR2,PRIME,,3.2,1235,20.955,01-06-25,,NA,NA,,0.033,0.068,0.2,0.013,0.009,0.009,0.05,0,34,0.03,0.004,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0126R00,84604573,CR3,PRIME,,2,1235,21.095,04-06-25,,NA,NA,,0.037,0.079,0.24,0.017,0.01,0.006,0.06,0,38,0.03,0.006,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0150R00,88594199,CR2,PRIME,,4,1235,26.135,05-06-25,,NA,NA,,0.054,0.072,0.25,0.02,0.015,0.006,0.058,0,44,0.03,0.001,0.017,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0152R00,18765957,CR2,PRIME,,4,1235,24.45,05-06-25,,NA,NA,,0.045,0.062,0.2,0.017,0.015,0.011,0.06,0,38,0.03,0.004,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0154R00,11643819,CR2,PRIME,,3.2,1235,18.94,05-06-25,,NA,NA,,0.045,0.062,0.2,0.017,0.015,0.011,0.06,0,38,0.03,0.004,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25F0179R00,96828468,CR3,PRIME,,2.2,1235,28.73,06-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.046,0.07,0.165,0.013,0.006,0.02,0.051,0.001,49,0.03,0.006,0.015,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0180R00,80907842,CR3,PRIME,,2.5,1230,28.65,06-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.039,0.058,0.138,0.012,0.007,0.011,0.028,0.001,55,0.03,0.006,0.016,0.01,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0209R00,44830475,CR3,PRIME,,2.5,1230,27.69,07-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.058,0.07,0.16,0.012,0.01,0.015,0.049,0.001,46,0.03,0.001,0.014,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0221R00,38193125,CR3,PRIME,,2.2,1235,28.61,07-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.037,0.069,0.145,0.012,0.008,0.023,0.043,0.001,76,0.03,0.005,0.015,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0222R00,33086217,CR3,PRIME,,2.5,1230,27.67,07-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.058,0.07,0.16,0.012,0.01,0.015,0.049,0.001,46,0.03,0.006,0.014,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0242R00,35522103,CR3,PRIME,,2.2,1235,27.68,08-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.046,0.065,0.135,0.006,0.005,0.016,0.043,0.001,27,0.03,0.005,0.017,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0254R00,37950699,CR3,PRIME,,2.2,1235,27.56,08-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.04,0.068,0.13,0.009,0.004,0.013,0.05,0.001,47,0.03,0.005,0.017,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0256R00,28105653,CR3,PRIME,,2.2,1235,27.49,08-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.04,0.068,0.13,0.009,0.004,0.013,0.05,0.001,47,0.03,0.005,0.017,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0257R00,98869915,CR3,PRIME,,2.2,1235,27.6,08-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.04,0.068,0.13,0.009,0.004,0.013,0.05,0.001,47,0.03,0.005,0.017,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0296R00,52108527,CR3,PRIME,,2.2,1235,27.71,08-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.045,0.069,0.135,0.011,0.005,0.013,0.04,0.001,50,0.03,0.005,0.017,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0298R00,22957588,CR3,PRIME,,2.5,1230,27.45,09-06-25,,NA,NA,DUPLICATE BATCH NO UPDATING,0.045,0.069,0.135,0.011,0.005,0.013,0.04,0.001,50,0.03,0.005,0.017,0.009,0.01,475,325,1.222,80,500,350,756,0,1
2000,25F0455R00,77122707,CR3,PRIME,,2,1235,18.205,19-06-25,,NA,NA,,0.04,0.065,0.13,0.011,0.008,0.008,0.051,0,45,0.03,0.006,0.012,0.008,0.01,475,325,0.001,80,500,350,756,0,1
